0.010991,0.007839,0.004266,0.003775,0.003572,9.3e-05,2.7e-05,2.9e-05,7.3e-05,6.6e-05,4.5e-05,7.4e-05,7.2e-05,0.000133,0.000111,5.8e-05,9.8e-05,8.2e-05,0.000166
0.036868,0.023526,0.012955,0.011106,0.009,0.009081,0.00028,5.8e-05,9.7e-05,0.000167,0.000163,0.00018,0.000302,9.8e-05,0.00011,0.000122,0.000139,0.000361,0.000576
0.084922,0.045179,0.032639,0.023971,0.02119,0.01336,0.015694,7.9e-05,7.5e-05,0.000632,0.000716,0.000126,0.000249,9.9e-05,0.000346,0.000123,0.000241,0.000519,0.000391
0.16461,0.086256,0.048542,0.039709,0.028876,0.021414,0.019982,0.024788,0.000689,0.001791,0.000462,0.001118,0.000139,0.000731,0.000183,0.001499,0.000215,0.000213,0.00074
0.280694,0.145919,0.079342,0.063063,0.04281,0.03854,0.027494,0.029305,0.030439,0.00417,0.000217,0.000239,0.000245,0.000932,0.001202,0.00015,0.000258,0.005043,0.001351
0.724069,0.229772,0.194741,0.110638,0.059346,0.05141,0.032149,0.039354,0.040358,0.040223,0.000304,0.004574,0.00049,0.000404,0.001778,0.000368,0.00059,0.000879,0.001791
0.682603,0.345171,0.183314,0.174351,0.084294,0.074128,0.080516,0.039447,0.056278,0.056141,0.057694,0.006098,0.004845,0.00039,0.001978,0.000602,0.000801,0.00285,0.001908
0.969715,0.522393,0.36307,0.17667,0.115238,0.127385,0.094416,0.059386,0.064394,0.065608,0.067283,0.086531,0.006922,0.003862,0.00052,0.000611,0.000806,0.001644,0.001937
1.329099,0.678658,0.533511,0.291586,0.165749,0.163824,0.110513,0.131568,0.080943,0.084522,0.082766,0.086244,0.093708,0.000776,0.001472,0.001602,0.001481,0.008183,0.002271
1.768534,0.896785,0.541453,0.294677,0.17812,0.156604,0.120353,0.14875,0.097383,0.114501,0.107196,0.112017,0.117597,0.108719,0.007869,0.002304,0.011563,0.002011,0.02047
2.329934,1.461137,1.11553,0.457173,0.318714,0.250198,0.20283,0.174733,0.210562,0.135056,0.115706,0.130817,0.141672,0.144757,0.140368,0.001617,0.010634,0.002933,0.01301
2.912447,1.475394,0.76864,0.533044,0.293392,0.251457,0.2671,0.196091,0.250377,0.138551,0.144071,0.163233,0.15709,0.141126,0.156666,0.180643,0.002494,0.019493,0.01792
3.653569,2.169477,0.964165,0.543254,0.505417,0.315064,0.275946,0.226889,0.282608,0.301503,0.163242,0.16617,0.164018,0.168463,0.187896,0.183458,0.189306,0.006124,0.011894
4.466957,3.767669,1.633644,1.035631,0.529265,0.430726,0.35751,0.389892,0.295972,0.333488,0.232607,0.19218,0.190599,0.194627,0.205376,0.20789,0.219211,0.223278,0.006996
5.421726,2.742016,1.423942,0.777617,0.710457,0.494858,0.493602,0.388947,0.373051,0.356735,0.408557,0.230705,0.212558,0.219465,0.2529,0.266335,0.261228,0.253361,0.244435